fecha,hom_team,away_team,hom_runs,away_runs,total_runs,hom_hits,away_hits,hom_total_bases,away_total_bases,hom_k,away_k,hom_p_k,away_p_k,total_k,ml_local_%
2026-09-08,Baltimore Orioles,Cleveland Guardians,4.03,3.96,7.74,7.98,7.57,12.95,12.36,8.51,7.78,7.53,8.4,16.27,52.9
2026-09-08,Detroit Tigers,Minnesota Twins,4.11,4.4,8.35,7.5,7.9,12.55,13.09,7.65,8.56,8.56,7.52,16.01,47.0
2026-09-08,Philadelphia Phillies,Houston Astros,4.32,3.99,8.64,7.82,7.93,12.68,13.27,8.49,9.32,9.35,8.34,17.91,51.9
2026-09-08,Miami Marlins,New York Mets,4.18,4.39,8.35,7.84,7.92,13.02,12.62,8.03,8.41,8.33,8.19,16.55,48.5
2026-09-08,Boston Red Sox,Los Angeles Angels,4.11,4.26,8.88,7.78,8.2,12.39,12.97,7.91,8.47,8.72,7.95,16.09,57.0
2026-09-08,New York Yankees,Colorado Rockies,4.39,3.89,8.5,8.4,7.16,13.14,12.26,6.46,9.09,8.87,7.29,15.83,57.7
2026-09-08,Atlanta Braves,Tampa Bay Rays,3.93,3.82,8.42,8.04,8.05,12.91,12.54,8.13,8.57,8.56,7.93,16.47,47.3
2026-09-08,Kansas City Royals,Arizona Diamondbacks,4.47,4.41,9.21,8.64,8.4,12.81,12.88,7.23,6.75,6.58,7.44,13.83,49.1
2026-09-08,Chicago White Sox,Pittsburgh Pirates,4.09,3.85,8.28,7.87,7.75,13.48,13.09,8.4,8.11,7.97,8.59,16.65,50.2
2026-09-08,Milwaukee Brewers,Chicago Cubs,4.88,5.14,10.87,8.04,7.99,14.55,12.54,7.51,10.08,10.21,7.57,18.12,55.1
2026-09-08,San Diego Padres,Washington Nationals,4.17,3.9,8.77,7.62,7.88,13.05,12.57,7.35,8.74,8.55,7.39,16.28,58.3
2026-09-08,Seattle Mariners,Texas Rangers,4.51,4.36,8.77,8.01,8.3,13.79,12.59,7.87,8.65,8.59,7.8,16.46,45.9
2026-09-08,Athletics,Toronto Blue Jays,4.74,5.28,10.64,8.11,9.71,13.69,17.99,7.87,8.1,7.79,7.75,16.14,47.7
2026-09-08,San Francisco Giants,St. Louis Cardinals,4.2,4.25,8.37,8.06,8.73,13.46,13.28,7.86,7.65,7.79,7.99,15.3,52.7
2026-09-08,Los Angeles Dodgers,Cincinnati Reds,4.9,3.63,8.7,7.71,7.57,13.21,12.61,8.3,9.3,9.22,8.27,17.58,59.6
