fecha,matchup,hom_team,away_team,hom_pitcher,away_pitcher,park_factor,hom_runs,away_runs,total_runs,hom_hits,away_hits,hom_total_bases,away_total_bases,hom_k,away_k,hom_p_k,away_p_k,total_k,ml_local_%,ml_visitante_%,cuota_local,cuota_visitante,pick_ev,stake_rec
2026-09-18,Chicago Cubs @ Cincinnati Reds,Cincinnati Reds,Chicago Cubs,Chase Burns,Clay Holmes,1.12,4.05,4.73,9.01,8.48,8.25,13.72,12.7,8.22,8.06,7.95,8.65,16.28,49.5,50.5,2.06,1.8064516129032258,Sin Valor Claro,0%
2026-09-18,Kansas City Royals @ Pittsburgh Pirates,Pittsburgh Pirates,Kansas City Royals,Paul Skenes,Randy Dobnak,0.95,4.56,4.32,9.15,8.61,8.22,14.36,13.14,7.82,9.04,8.95,8.2,17.1,52.4,47.6,1.5434782608695652,2.54,Visitante (+EV 20.9%),3.4%
2026-09-18,Milwaukee Brewers @ Baltimore Orioles,Baltimore Orioles,Milwaukee Brewers,TBD,Dustin May,1.02,3.96,4.04,8.5,7.28,8.77,11.79,13.24,8.75,8.53,8.24,8.68,17.27,51.2,48.8,2.1399999999999997,1.7462686567164178,Local (+EV 9.6%),2.1%
2026-09-18,Athletics @ Cleveland Guardians,Cleveland Guardians,Athletics,Daniel Espino,Mason Barnett,0.94,4.57,4.33,8.89,8.12,8.12,12.61,12.94,8.01,10.22,10.07,8.15,18.37,53.6,46.4,1.5050505050505052,2.66,Visitante (+EV 23.4%),3.5%
2026-09-18,Boston Red Sox @ Tampa Bay Rays,Tampa Bay Rays,Boston Red Sox,Ian Seymour,Ranger Suarez,0.93,4.11,3.96,8.57,7.93,7.74,12.34,11.97,7.56,8.66,8.37,7.72,15.35,52.6,47.4,1.8333333333333335,2.02,Sin Valor Claro,0%
2026-09-18,Philadelphia Phillies @ New York Mets,New York Mets,Philadelphia Phillies,Zac Thornton,TBD,0.94,3.82,4.38,8.14,7.39,8.59,11.93,14.18,8.1,8.64,8.71,8.16,16.72,45.5,54.5,1.847457627118644,2.0,Visitante (+EV 9.0%),2.3%
2026-09-18,Detroit Tigers @ Chicago White Sox,Chicago White Sox,Detroit Tigers,David Sandlin,Andrew Sears,1.0,3.88,4.08,8.49,7.55,8.27,12.63,13.3,9.09,8.23,8.34,8.81,17.29,52.2,47.8,1.7692307692307692,2.1,Sin Valor Claro,0%
2026-09-18,Toronto Blue Jays @ Texas Rangers,Texas Rangers,Toronto Blue Jays,Kumar Rocker,Dylan Cease,1.02,4.07,3.63,7.89,7.96,8.26,12.63,12.99,7.53,7.83,7.73,7.76,15.65,52.3,47.7,2.16,1.7352941176470589,Local (+EV 13.0%),2.8%
2026-09-18,Seattle Mariners @ Colorado Rockies,Colorado Rockies,Seattle Mariners,TBD,Bryan Woo,1.35,5.31,6.03,11.85,8.93,12.35,15.75,21.45,8.98,7.76,7.99,9.02,16.86,43.4,56.6,2.56,1.5376344086021505,Local (+EV 11.1%),1.8%
2026-09-18,Atlanta Braves @ Houston Astros,Houston Astros,Atlanta Braves,Peter Lambert,Tyler Mahle,0.98,4.0,3.67,8.1,7.91,7.48,13.46,12.03,8.2,9.31,9.25,8.31,18.45,59.4,40.6,1.9803921568627452,1.8620689655172413,Local (+EV 17.6%),4.5%
2026-09-18,Washington Nationals @ St. Louis Cardinals,St. Louis Cardinals,Washington Nationals,Kyle Leahy,Cade Cavalli,0.99,5.14,3.86,9.14,8.62,8.26,13.22,13.56,7.25,7.89,8.02,7.26,15.55,53.0,47.0,1.8928571428571428,1.9615384615384617,Sin Valor Claro,0%
2026-09-18,Minnesota Twins @ Los Angeles Angels,Los Angeles Angels,Minnesota Twins,Grayson Rodriguez,Connor Prielipp,0.96,4.17,4.0,8.21,7.94,7.76,12.31,12.52,8.23,9.45,9.64,8.38,17.66,55.4,44.6,2.08,1.7936507936507935,Local (+EV 15.2%),3.5%
2026-09-18,Miami Marlins @ San Diego Padres,San Diego Padres,Miami Marlins,Nick Pivetta,Tyler Phillips,0.92,4.62,4.19,8.6,8.14,7.88,13.7,13.07,7.49,8.79,8.67,7.78,16.49,58.4,41.6,1.510204081632653,2.6399999999999997,Visitante (+EV 9.8%),1.5%
2026-09-18,New York Yankees @ Arizona Diamondbacks,Arizona Diamondbacks,New York Yankees,Eduardo Rodriguez,Gerrit Cole,0.97,4.55,4.76,8.79,8.04,9.29,13.19,13.99,7.54,8.98,8.84,7.49,15.94,43.7,56.3,2.08,1.7936507936507935,Sin Valor Claro,0%
2026-09-18,San Francisco Giants @ Los Angeles Dodgers,Los Angeles Dodgers,San Francisco Giants,Tyler Glasnow,Cesar Perdomo,1.01,5.3,4.04,8.73,8.74,7.54,15.0,12.56,7.97,9.68,9.56,7.85,17.74,58.2,41.8,1.3194888178913737,3.48,Visitante (+EV 45.5%),4.6%
