fecha,matchup,hom_team,away_team,hom_pitcher,away_pitcher,park_factor,hom_runs,away_runs,total_runs,ml_local_%,ml_visitante_%,cuota_local,cuota_visitante,pick_ev,stake_rec
2026-09-22,Tampa Bay Rays @ New York Yankees,New York Yankees,Tampa Bay Rays,Carlos Rodón,Nick Martinez,0.98,4.56,4.02,8.48,53.9,46.1,1.7692307692307692,2.1,Sin Valor Claro,0%
2026-09-22,Tampa Bay Rays @ New York Yankees,New York Yankees,Tampa Bay Rays,Max Fried,Drew Rasmussen,0.98,4.56,4.02,8.48,53.9,46.1,1.7692307692307692,2.1,Sin Valor Claro,0%
2026-09-22,Toronto Blue Jays @ Baltimore Orioles,Baltimore Orioles,Toronto Blue Jays,Chris Bassitt,Max Scherzer,1.02,4.17,4.13,8.68,49.2,50.8,1.8333333333333335,2.02,Sin Valor Claro,0%
2026-09-22,Washington Nationals @ Detroit Tigers,Detroit Tigers,Washington Nationals,Drew Anderson,Riley Cornelio,0.95,4.24,3.84,8.51,57.9,42.1,1.6329113924050633,2.34,Sin Valor Claro,0%
2026-09-22,St. Louis Cardinals @ Pittsburgh Pirates,Pittsburgh Pirates,St. Louis Cardinals,Jared Jones,Andre Pallante,0.95,4.55,4.05,9.0,56.0,44.0,1.5813953488372094,2.44,Visitante (+EV 7.4%),1.3%
2026-09-22,Milwaukee Brewers @ Philadelphia Phillies,Philadelphia Phillies,Milwaukee Brewers,Zack Wheeler,Dustin May,1.06,3.6,4.11,8.3,48.0,52.0,1.704225352112676,2.2,Visitante (+EV 14.4%),3.0%
2026-09-22,Cleveland Guardians @ Boston Red Sox,Boston Red Sox,Cleveland Guardians,Payton Tolle,Parker Messick,1.08,3.88,3.82,7.92,52.0,48.0,1.7692307692307692,2.1,Sin Valor Claro,0%
2026-09-22,Cincinnati Reds @ Atlanta Braves,Atlanta Braves,Cincinnati Reds,JR Ritchie,Brandon Williamson,1.01,4.63,4.42,9.13,60.5,39.5,1.5434782608695652,2.54,Sin Valor Claro,0%
2026-09-22,Chicago White Sox @ Kansas City Royals,Kansas City Royals,Chicago White Sox,Daniel Lynch IV,Anthony Kay,1.05,4.18,4.71,9.34,53.2,46.8,2.0,1.847457627118644,Local (+EV 6.4%),1.6%
2026-09-22,Miami Marlins @ Chicago Cubs,Chicago Cubs,Miami Marlins,Shota Imanaga,Janson Junk,1.04,4.6,4.33,9.07,53.1,46.9,1.4830917874396135,2.69,Visitante (+EV 26.2%),3.9%
2026-09-22,New York Mets @ Texas Rangers,Texas Rangers,New York Mets,MacKenzie Gore,Sean Manaea,1.02,3.97,3.93,8.15,46.9,53.1,1.7518796992481203,2.1,Visitante (+EV 11.5%),2.6%
2026-09-22,Arizona Diamondbacks @ Colorado Rockies,Colorado Rockies,Arizona Diamondbacks,Kyle Freeland,Michael Soroka,1.35,4.8,5.46,10.26,44.1,55.9,2.62,1.5154639175257731,Local (+EV 15.5%),2.4%
2026-09-22,Los Angeles Angels @ Athletics,Athletics,Los Angeles Angels,Brady Basso,Yusei Kikuchi,0.96,4.87,4.87,9.93,52.7,47.3,1.925925925925926,1.925925925925926,Sin Valor Claro,0%
2026-09-22,Houston Astros @ Seattle Mariners,Seattle Mariners,Houston Astros,Logan Gilbert,Cristian Javier,0.91,4.97,4.17,8.72,55.1,44.9,1.704225352112676,2.2,Sin Valor Claro,0%
2026-09-22,Minnesota Twins @ San Francisco Giants,San Francisco Giants,Minnesota Twins,Anthony Molina,Taj Bradley,0.95,4.68,3.88,8.66,61.2,38.8,2.1399999999999997,1.7462686567164178,Local (+EV 31.0%),6.8%
2026-09-22,San Diego Padres @ Los Angeles Dodgers,Los Angeles Dodgers,San Diego Padres,TBD,Michael King,1.01,4.86,4.45,9.19,54.8,45.2,1.8064516129032258,2.06,Sin Valor Claro,0%
