fecha,matchup,pred_winner,real_winner,ml_correct,pred_total,real_total,total_error,pick_made,pick_ev,units_staked,pnl_units
2026-09-08,Cleveland Guardians @ Baltimore Orioles,home,away,False,7.75,14,6.25,False,Sin Valor Claro,0.0,0.0
2026-09-08,Minnesota Twins @ Detroit Tigers,away,away,True,8.33,5,3.33,True,Visitante (+EV 12.6%),2.6,3.1200000000000006
2026-09-08,Houston Astros @ Philadelphia Phillies,home,away,False,8.8,11,2.1999999999999993,True,Visitante (+EV 5.2%),1.1,1.3200000000000003
2026-09-08,New York Mets @ Miami Marlins,away,away,True,8.34,12,3.66,True,Visitante (+EV 5.2%),1.2,1.296
2026-09-08,Los Angeles Angels @ Boston Red Sox,home,away,False,8.66,7,1.6600000000000001,True,Visitante (+EV 8.1%),1.7000000000000002,2.0740000000000007
2026-09-08,Colorado Rockies @ New York Yankees,home,home,True,8.28,8,0.27999999999999936,True,Visitante (+EV 58.7%),5.4,-5.4
2026-09-08,Tampa Bay Rays @ Atlanta Braves,away,away,True,8.32,8,0.3200000000000003,False,Sin Valor Claro,0.0,0.0
2026-09-08,Arizona Diamondbacks @ Kansas City Royals,away,away,True,8.92,8,0.9199999999999999,False,Sin Valor Claro,0.0,0.0
2026-09-08,Pittsburgh Pirates @ Chicago White Sox,home,away,False,7.97,12,4.03,True,Visitante (+EV 7.1%),1.4,1.7360000000000002
2026-09-08,Chicago Cubs @ Milwaukee Brewers,home,home,True,11.07,7,4.07,True,Visitante (+EV 16.4%),2.2,-2.2
2026-09-08,Washington Nationals @ San Diego Padres,home,home,True,8.55,9,0.4499999999999993,True,Visitante (+EV 15.8%),2.6,-2.6
2026-09-08,Texas Rangers @ Seattle Mariners,away,away,True,8.75,15,6.25,True,Visitante (+EV 16.3%),3.3000000000000003,4.026000000000001
2026-09-08,Toronto Blue Jays @ Athletics,away,away,True,10.74,6,4.74,True,Local (+EV 23.0%),3.8,-3.8
2026-09-08,St. Louis Cardinals @ San Francisco Giants,home,home,True,8.6,3,5.6,False,Sin Valor Claro,0.0,0.0
2026-09-08,Cincinnati Reds @ Los Angeles Dodgers,home,home,True,8.69,5,3.6899999999999995,True,Visitante (+EV 54.7%),5.1,-5.1
